Designator,Mid X,Mid Y,Rotation,Layer
C1,68.275,-52.5,0.0,top
C2,71.775,-52.5,180.0,top
C3,75.0,-60.5,0.0,top
C4,65.225,-61.0,180.0,top
D1,67.0,-75.5,0.0,top
J1,46.0,-67.5,180.0,top
J2,72.0,-80.5,0.0,top
J4,59.975,-67.5,0.0,top
J5,78.0,-68.625,90.0,top
R1,57.0,-59.5,180.0,top
R2,71.5,-60.5,180.0,top
R3,68.5,-60.5,0.0,top
R4,63.5,-77.0,270.0,top
R5,62.5,-64.5,90.0,top
R6,62.5,-67.5,90.0,top
R7,62.5,-71.5,90.0,top
R8,63.5,-74.0,180.0,top
R9,66.5,-74.0,180.0,top
SW1,54.0,-55.375,90.0,top
U1,70.0,-67.5,270.0,top
Y1,70.0,-56.5,180.0,top
